,city id,city,country,latitude,longitute,temperature(C),humidity(%),wind speed(mps),cloud(%),receive date
60,934479,Grand Gaube,MU,-20.0064,57.6608,20.21,74,0.89,0,20-06-2022 13:50:19
61,2449893,Tessalit,ML,20.1986,1.0114,30.51,29,2.87,77,20-06-2022 13:50:19
62,3401845,Conceição do Araguaia,BR,-8.2578,-49.2647,22.54,50,0.7,9,20-06-2022 13:50:20
63,3580477,West Bay,KY,19.3667,-81.4167,27.83,82,5.14,100,20-06-2022 13:50:21
64,1628884,Sampit,ID,-2.5333,112.95,30.47,67,0.81,32,20-06-2022 13:50:22
65,145531,Saurimo,AO,-9.6608,20.3916,12.72,53,1.83,86,20-06-2022 13:50:22
66,2171099,Codrington,AU,-38.2667,141.9667,11.34,81,9.44,100,20-06-2022 13:50:23
67,3904043,Sorata,BO,-15.7667,-68.6333,3.77,76,0.32,23,20-06-2022 13:50:24
68,1702944,Malayal,PH,7.208,121.942,29.89,71,1.64,99,20-06-2022 13:50:24
69,1106643,Quatre Cocos,MU,-20.2078,57.7625,20.05,69,5.41,3,20-06-2022 13:50:25
70,1566559,Tay Ninh,VN,11.3,106.1,32.04,62,2.69,88,20-06-2022 13:50:26
71,3899539,Antofagasta,CL,-23.65,-70.4,12.6,74,1.68,16,20-06-2022 13:49:22
72,1272648,Dibrugarh,IN,27.4833,94.9,26.03,89,3.6,75,20-06-2022 13:50:28
73,3663142,Novo Aripuanã,BR,-5.1206,-60.3797,23.12,83,0.46,46,20-06-2022 13:50:28
74,2239862,Malanje,AO,-9.5402,16.341,12.11,95,1.84,12,20-06-2022 13:50:29
75,2327827,Ogaminana,NG,7.5946,6.2248,21.86,98,1.58,91,20-06-2022 13:50:30
76,3625710,Upata,VE,8.0086,-62.3989,22.88,94,2.45,32,20-06-2022 13:50:31
77,1045114,Inhambane,MZ,-23.865,35.3833,18.81,81,2.18,4,20-06-2022 13:47:21
78,3670700,Risaralda,CO,5.1665,-75.766,17.97,99,0.48,97,20-06-2022 13:50:32
79,3105522,Bereda,ES,43.2686,-7.5406,11.19,100,0.93,100,20-06-2022 13:50:32
